,n_clusters,seed,silhouette_score
0,2,0,0.3153441336069185
1,2,1,0.3153441336069185
2,2,2,0.3153441336069185
3,2,3,0.3153441336069185
4,2,4,0.3153441336069185
5,2,5,0.3153441336069185
6,2,6,0.3153441336069185
7,2,7,0.3153441336069185
8,2,8,0.3153441336069185
9,2,9,0.3153441336069185
10,2,10,0.3153441336069185
11,2,11,0.3153441336069185
12,2,12,0.3153441336069185
13,2,13,0.3153441336069185
14,2,14,0.3153441336069185
15,2,15,0.3153441336069185
16,2,16,0.3153441336069185
17,2,17,0.3153441336069185
18,2,18,0.3153441336069185
19,2,19,0.3153441336069185
20,3,0,0.30318933408774545
21,3,1,0.30318933408774545
22,3,2,0.30318933408774545
23,3,3,0.30318933408774545
24,3,4,0.30318933408774545
25,3,5,0.3022861688062001
26,3,6,0.30229021506136805
27,3,7,0.302902483090709
28,3,8,0.30318933408774545
29,3,9,0.30318933408774545
30,3,10,0.3033583951666899
31,3,11,0.30146440894458676
32,3,12,0.30318933408774545
33,3,13,0.302902483090709
34,3,14,0.30318933408774545
35,3,15,0.30282977544864836
36,3,16,0.3031809832992843
37,3,17,0.30246837478556615
38,3,18,0.30146440894458676
39,3,19,0.30255813750380023
40,4,0,0.26897310239286515
41,4,1,0.2690910140742094
42,4,2,0.26778849157126416
43,4,3,0.2670666462556794
44,4,4,0.2676589673178006
45,4,5,0.2666416731055204
46,4,6,0.26743399546148616
47,4,7,0.26756774723694343
48,4,8,0.266638802832559
49,4,9,0.26708657472464076
50,4,10,0.26720086049222974
51,4,11,0.26770744059042884
52,4,12,0.2676589673178006
53,4,13,0.2667070839907509
54,4,14,0.2676589673178006
55,4,15,0.26698850876746133
56,4,16,0.2676475250552864
57,4,17,0.2670709781305569
58,4,18,0.2679381014621913
59,4,19,0.26756774723694343
60,5,0,0.26639108380909926
61,5,1,0.2666248018424918
62,5,2,0.2671039524084689
63,5,3,0.2674072824390647
64,5,4,0.26745665373123895
65,5,5,0.2673542763774321
66,5,6,0.26745665373123895
67,5,7,0.26733147276411295
68,5,8,0.2674072824390647
69,5,9,0.26727614177629594
70,5,10,0.2673542763774321
71,5,11,0.2671039524084689
72,5,12,0.2671996829069934
73,5,13,0.2674072824390647
74,5,14,0.2667788919035525
75,5,15,0.2674072824390647
76,5,16,0.2666248018424918
77,5,17,0.2674072824390647
78,5,18,0.2671996829069934
79,5,19,0.26671905301636506
80,6,0,0.2608778150886126
81,6,1,0.2630893763905059
82,6,2,0.2624211756907881
83,6,3,0.26426944818423154
84,6,4,0.2638629346998742
85,6,5,0.2619461509345621
86,6,6,0.26498050756807856
87,6,7,0.24907572352657167
88,6,8,0.26365125004955975
89,6,9,0.26176143983568384
90,6,10,0.26176143983568384
91,6,11,0.2647821622883942
92,6,12,0.25571806870315145
93,6,13,0.2515624280213167
94,6,14,0.2653351055910633
95,6,15,0.2622416764025523
96,6,16,0.24907572352657167
97,6,17,0.26300518772355647
98,6,18,0.2624211756907881
99,6,19,0.26225774145540603
100,7,0,0.2564360073800382
101,7,1,0.2600589576916813
102,7,2,0.2582097023205336
103,7,3,0.25831165404120743
104,7,4,0.2556693380557173
105,7,5,0.2601746926868376
106,7,6,0.2554066512808122
107,7,7,0.2568998867789524
108,7,8,0.2559403798258418
109,7,9,0.25831165404120743
110,7,10,0.2552042299376247
111,7,11,0.25932624142187194
112,7,12,0.26020192069551434
113,7,13,0.2602056898604854
114,7,14,0.2600886568227735
115,7,15,0.25949465248761183
116,7,16,0.2593305665564222
117,7,17,0.256515736033145
118,7,18,0.25998216906250193
119,7,19,0.25654332884516134
120,8,0,0.25898660698073306
121,8,1,0.25524157899957095
122,8,2,0.25980606431472253
123,8,3,0.25838939201735184
124,8,4,0.2565878438982928
125,8,5,0.25893718757594586
126,8,6,0.2600103260206434
127,8,7,0.25638050151878067
128,8,8,0.25967185722265584
129,8,9,0.25891866697093524
130,8,10,0.2587606040555563
131,8,11,0.25766703707047467
132,8,12,0.2577540521185842
133,8,13,0.2565288941129097
134,8,14,0.25794151716202324
135,8,15,0.2589758564911433
136,8,16,0.25980606431472253
137,8,17,0.2577515111808678
138,8,18,0.25918447421588914
139,8,19,0.25881294927079584
140,9,0,0.2526764105106199
141,9,1,0.24977129783559285
142,9,2,0.25284809825790266
143,9,3,0.2520799737031574
144,9,4,0.25264248584769816
145,9,5,0.253121037324747
146,9,6,0.25372019927494677
147,9,7,0.25216934280122916
148,9,8,0.2526962354344788
149,9,9,0.2544753735530457
150,9,10,0.254434108107387
151,9,11,0.25342689224765547
152,9,12,0.2525695944923279
153,9,13,0.2513390230192517
154,9,14,0.25247568020653693
155,9,15,0.2518633876544996
156,9,16,0.253121037324747
157,9,17,0.2530344887294368
158,9,18,0.2521101671861153
159,9,19,0.2515760406238503
160,10,0,0.2510060100764329
161,10,1,0.2520641569984945
162,10,2,0.25613697580036926
163,10,3,0.2553347110776594
164,10,4,0.25564490526011036
165,10,5,0.2529630532645223
166,10,6,0.2552946650649679
167,10,7,0.2571920683313195
168,10,8,0.2564646944114423
169,10,9,0.24807335166969416
170,10,10,0.25455776326327423
171,10,11,0.2518959193898835
172,10,12,0.2522041613794154
173,10,13,0.2521746540642606
174,10,14,0.2542246762715361
175,10,15,0.254891255691405
176,10,16,0.24568490073610832
177,10,17,0.2565493503508886
178,10,18,0.25397301440991676
179,10,19,0.25218776314315083
180,11,0,0.25295635152871515
181,11,1,0.2470571478755661
182,11,2,0.2483828288130634
183,11,3,0.25805311980705686
184,11,4,0.25983491662341485
185,11,5,0.26203316997311776
186,11,6,0.258489875149063
187,11,7,0.2594883642613233
188,11,8,0.2595923901433928
189,11,9,0.2516200799548039
190,11,10,0.25918287059283457
191,11,11,0.2570839788445818
192,11,12,0.2528347334887676
193,11,13,0.2573507716335231
194,11,14,0.25438135005645524
195,11,15,0.2571426051609948
196,11,16,0.23818376209313216
197,11,17,0.2585146117061072
198,11,18,0.2611629618105548
199,11,19,0.2552688009788654
200,12,0,0.24453980922974694
201,12,1,0.25099563584682644
202,12,2,0.25078987993897645
203,12,3,0.25917267406331573
204,12,4,0.2487677583922633
205,12,5,0.24670970765170874
206,12,6,0.25709259315610594
207,12,7,0.2501235669872998
208,12,8,0.25011228112538186
209,12,9,0.25853755873714107
210,12,10,0.2554259174173192
211,12,11,0.24900103494808215
212,12,12,0.25991240233601853
213,12,13,0.24940695078399397
214,12,14,0.25952240769135515
215,12,15,0.24674914807799234
216,12,16,0.2445931662077536
217,12,17,0.2485374570199263
218,12,18,0.25032721387214074
219,12,19,0.2505381456006332
220,13,0,0.24809573027476928
221,13,1,0.25943438067374147
222,13,2,0.25405532243873546
223,13,3,0.258532048443395
224,13,4,0.250242357425077
225,13,5,0.2579707124409686
226,13,6,0.24227777688185562
227,13,7,0.25356381433572595
228,13,8,0.2510472942554464
229,13,9,0.24570440701586765
230,13,10,0.24907031781485506
231,13,11,0.2516131714419542
232,13,12,0.2584482264779652
233,13,13,0.25557533875634664
234,13,14,0.2580280197724715
235,13,15,0.25092229080366496
236,13,16,0.25273646007821443
237,13,17,0.25007503233981954
238,13,18,0.23965099935005055
239,13,19,0.26129169578580075
240,14,0,0.24722118022593803
241,14,1,0.25879043494791343
242,14,2,0.24617171055373666
243,14,3,0.25142383653867867
244,14,4,0.2552608941529532
245,14,5,0.24902551145444698
246,14,6,0.2481556301773861
247,14,7,0.25122148603839356
248,14,8,0.24656565845204007
249,14,9,0.2562298666543226
250,14,10,0.25579785551871104
251,14,11,0.24981919464668073
252,14,12,0.25841296595039537
253,14,13,0.24903767750622424
254,14,14,0.24903030334585458
255,14,15,0.2561889754004416
256,14,16,0.25098130723775197
257,14,17,0.23862520842418952
258,14,18,0.2540070877554191
259,14,19,0.24831236055123623
